id;source;type;rule;severity;file;startLine;startColumn;endLine;endColumn
0efacd56-aeea-4da3-8cc5-48c961d672c0;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Model/Attribute/Backend/WebsiteSpecific/ValueSynchronizer.php;59;13;59;36
77b2f67c-74cf-46b9-91c2-78381e8662d8;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Model/Category/Attribute/Backend/Image.php;148;17;148;41
00e81f13-d897-454d-ae99-5e127bdba968;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Model/ImageUploader.php;225;13;225;36
176ba807-385a-416a-be54-6d560d12bb60;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Model/ImageUploader.php;274;17;274;40
3f218a80-58c1-4b88-9218-a8a17508432d;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/Catalog/Model/Indexer/Category/Product/AbstractAction.php;654;26;654;30
5fe32dff-d6da-4ca3-9094-37b2c93bb77d;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Model/Product/Type/AbstractType.php;1069;13;1069;37
e94c7f6d-2e48-4fa7-977a-4f3c6ff87299;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/Catalog/Model/ProductRepository.php;347;16;347;20
73bad1e3-55a2-48ef-b662-a6732f7589d6;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/Catalog/Model/ResourceModel/Category.php;657;32;657;35
be0f1fc6-2f64-453f-9941-247bcfba7aea;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Model/ResourceModel/MediaImageDeleteProcessor.php;92;13;92;36
d28b674e-db2e-4276-8c77-86aa7be1e0da;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Model/ResourceModel/MediaImageDeleteProcessor.php;142;17;142;40
916bff37-bc25-489f-943b-106218e79e59;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Plugin/Model/Indexer/Category/Product/MaxHeapTableSizeProcessorOnFullReindex.php;50;13;50;33
dfa758aa-aeec-45e1-915a-f7df945e9220;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Plugin/Model/Indexer/Category/Product/MaxHeapTableSizeProcessorOnFullReindex.php;65;13;65;33
9604a419-2cd5-41b5-b98b-660eaaf3bf7c;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Pricing/Render/FinalPriceBox.php;101;13;101;37
fc3ddd22-a4cd-4f08-8b67-c9a71cbad1c4;Snyk;VULNERABILITY;php/InsecureHash/test;MINOR;app/code/Magento/Catalog/Test/Unit/Model/Indexer/Product/Flat/Action/Rows/TableDataTest.php;117;16;117;20
1dee57fc-77e0-4ef1-8267-70f2f405f04b;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/Catalog/view/adminhtml/templates/catalog/product/edit/serializer.phtml;14;16;14;19
626f1ed1-8d75-4531-9576-0a42619ba60e;Snyk;VULNERABILITY;javascript/UseArrowFunction;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/catalog/base-image-uploader.js;49;74;49;80
b49ba5da-05b7-4257-a418-b432724b083d;Snyk;VULNERABILITY;javascript/PureMethodReturnValueIgnored;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/catalog/product/composite/configure.js;782;46;782;49
af7d4cb1-3ce8-41c7-8dfd-c4ddfe11c2c3;Snyk;VULNERABILITY;javascript/UseNumberIsNan;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/catalog/product/composite/configure.js;847;60;847;65
147ac291-9dab-4823-8470-20cb22317d88;Snyk;VULNERABILITY;javascript/AttrAccessOnNull;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/components/import-handler.js;62;54;62;64
2b38d4a6-9ed7-4b03-8244-ee920a5520c0;Snyk;VULNERABILITY;javascript/UseArrowFunction;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/custom-options.js;162;85;162;88
b472bd0b-53cc-4400-addc-731318b65ba9;Snyk;VULNERABILITY;javascript/CallbackShouldReturn;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/custom-options.js;162;85;162;88
b285a995-402c-44b0-a2e9-1cdf2bb6bdf1;Snyk;VULNERABILITY;javascript/PureMethodReturnValueIgnored;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/custom-options.js;162;85;162;88
e00c6c98-dffd-435b-b6d3-66a8c0e2f1a4;Snyk;VULNERABILITY;javascript/DOMXSS;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/new-category-dialog.js;136;61;136;65
bea58bea-5d2d-4bce-81a0-d42883e843a2;Snyk;VULNERABILITY;javascript/WrongNumberOfArgs;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/product-gallery.js;35;21;35;26
99f74313-f408-4e70-9c29-0d3a1f34e7a8;Snyk;VULNERABILITY;javascript/UseNumberIsNan;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/utils/percentage-price-calculator.js;31;13;31;18
c60b8a59-b062-4ffb-b635-54d6272a879a;Snyk;VULNERABILITY;javascript/UseNumberIsNan;MAJOR;app/code/Magento/Catalog/view/adminhtml/web/js/utils/percentage-price-calculator.js;33;13;33;18
b0bbddfe-a2cb-4fe5-9bc1-c1e6c732ce21;Snyk;VULNERABILITY;javascript/UsageOfUndefinedReturnValue;MAJOR;app/code/Magento/Catalog/view/base/web/js/price-box.js;63;13;63;45
5e91856b-2dae-4b8d-95c4-8092f9760985;Snyk;VULNERABILITY;javascript/UseNumberIsNan;MAJOR;app/code/Magento/Catalog/view/base/web/js/price-utils.js;46;21;46;26
11c34759-f3ae-4934-ad0f-88ced20ac005;Snyk;VULNERABILITY;javascript/UseNumberIsNan;MAJOR;app/code/Magento/Catalog/view/base/web/js/price-utils.js;77;21;77;26
a883edb3-c456-4f4a-bf06-e485ec7cf741;Snyk;VULNERABILITY;javascript/UseNumberIsNan;MAJOR;app/code/Magento/Catalog/view/base/web/js/price-utils.js;78;27;78;32
ab2948c8-61c8-477e-8c8f-551decf618ff;Snyk;VULNERABILITY;javascript/ImplicitCoercionInOperator;MINOR;app/code/Magento/Catalog/view/base/web/js/price-utils.js;108;41;108;51
1a7ed988-a0fa-42c6-80e4-c0f937f5f7ef;Snyk;VULNERABILITY;javascript/UsageOfUndefinedReturnValue;MAJOR;app/code/Magento/Catalog/view/base/web/js/product/list/columns/price-box.js;177;17;177;71
32be8799-3489-4993-8e2e-3a60f7ea1042;Snyk;VULNERABILITY;javascript/UsageOfUndefinedReturnValue;MAJOR;app/code/Magento/Catalog/view/base/web/js/product/list/columns/price-box.js;186;13;186;76
9c52a350-3f9b-4dca-a360-25b48a42fca0;Snyk;VULNERABILITY;javascript/ArrayMethodOnNonArray;MAJOR;app/code/Magento/Catalog/view/frontend/web/js/catalog-add-to-cart.js;147;45;147;73
3f9f424f-1f47-4a05-b19a-6b5e50a1532a;Snyk;VULNERABILITY;javascript/DOMXSS;MAJOR;app/code/Magento/Catalog/view/frontend/web/js/catalog-add-to-cart.js;157;58;157;62
9854b757-d63d-42e5-b4db-533faf33d2b5;Snyk;VULNERABILITY;javascript/DOMXSS;MAJOR;app/code/Magento/Catalog/view/frontend/web/js/catalog-add-to-cart.js;161;58;161;69
6352c9d2-573b-4d9e-b32f-8a53bbcde0d3;Snyk;VULNERABILITY;javascript/DOMXSS;MAJOR;app/code/Magento/Catalog/view/frontend/web/js/catalog-add-to-cart.js;170;30;170;34
17556631-3d57-42fd-8ae9-ed6dfe691cc2;Snyk;VULNERABILITY;javascript/UseArrowFunction;MAJOR;app/code/Magento/Catalog/view/frontend/web/js/related-products.js;68;62;68;65
aeb3d68c-559f-4351-a81c-f94c49b833a5;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/CatalogImportExport/Model/Export/Product.php;1006;13;1006;37
884f71e2-588a-4c1c-89a6-050ed207f5ce;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/CatalogImportExport/Model/Import/Product.php;2391;13;2391;37
f0a2f0f1-6045-4962-be8e-4e94ec7e1101;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/CatalogInventory/Observer/ReindexQuoteInventoryObserver.php;101;13;101;33
6441b198-c9f8-4012-8b0b-be6157ee9aaa;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/CatalogRule/Controller/Adminhtml/Promo/Catalog/ApplyRules.php;34;13;34;85
f528189b-d8ac-47c1-93ab-5e14e7631ff6;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/CatalogRule/Controller/Adminhtml/Promo/Catalog/Delete.php;38;17;38;86
d7e27ded-cc4c-463d-9fe6-6273c389a4cb;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/CatalogRule/Controller/Adminhtml/Promo/Catalog/Save.php;149;17;149;86
1a690dad-143d-4559-abdf-ecfbce014ab7;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/CatalogRule/Model/Indexer/IndexBuilder.php;740;9;740;32
